** CONVERTED FROM SR3.edf using edfapi 3.1 Win32 Jul  4 2014 on Fri May 10 12:27:53 2024
** DATE: Fri May 10 12:34:07 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.48 Nov 25 2009
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BJC
** SERIAL NUMBER: CLO-ZAA25
** CAMERA_CONFIG: ZAA25140.SCD
**

MSG	4333200 RECCFG CR 250 2 2 R
MSG	4333200 ELCLCFG MLRR
MSG	4333200 GAZE_COORDS 0.00 0.00 1024.00 768.00
MSG	4333200 THRESHOLDS R 56 172
MSG	4333200 ELCL_PROC ELLIPSE  (5)
MSG	4333200 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4333201 !MODE RECORD CR 250 2 2 R
START	4333206 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	HREF	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
INPUT	4333206	255
SFIX R   4333206
4333674	  510.9	  382.9	 1000.0	...
4333678	  510.9	  382.9	 1000.0	...
4333682	  510.9	  382.9	 1000.0	...
4333686	  510.9	  382.9	 1000.0	...
4333690	  510.9	  382.9	 1000.0	...
4333694	  510.9	  382.9	 1000.0	...
4333698	  510.9	  382.9	 1000.0	...
4333702	  510.9	  382.9	 1000.0	...
4333706	  510.9	  382.9	 1000.0	...
4333710	  510.9	  382.9	 1000.0	...
4333714	  510.9	  382.9	 1000.0	...
4333718	  510.9	  382.9	 1000.0	...
4333722	  510.9	  382.9	 1000.0	...
4333726	  510.9	  382.9	 1000.0	...
4333730	  510.9	  382.9	 1000.0	...
4333734	  510.9	  382.9	 1000.0	...
4333738	  510.9	  382.9	 1000.0	...
4333742	  510.9	  382.9	 1000.0	...
4333746	  510.9	  382.9	 1000.0	...
4333750	  510.9	  382.9	 1000.0	...
4333754	  510.9	  382.9	 1000.0	...
4333758	  510.9	  382.9	 1000.0	...
4333762	  510.9	  382.9	 1000.0	...
4333766	  510.9	  382.9	 1000.0	...
4333770	  510.9	  382.9	 1000.0	...
4333774	  510.9	  382.9	 1000.0	...
4333778	  510.9	  382.9	 1000.0	...
4333782	  510.9	  382.9	 1000.0	...
4333786	  510.9	  382.9	 1000.0	...
4333790	  510.9	  382.9	 1000.0	...
4333794	  510.9	  382.9	 1000.0	...
4333798	  510.9	  382.9	 1000.0	...
4333802	  510.9	  382.9	 1000.0	...
4333806	  510.9	  382.9	 1000.0	...
4333810	  510.9	  382.9	 1000.0	...
4333814	  510.9	  382.9	 1000.0	...
4333818	  510.9	  382.9	 1000.0	...
4333822	  510.9	  382.9	 1000.0	...
4333826	  510.9	  382.9	 1000.0	...
4333830	  510.9	  382.9	 1000.0	...
4333834	  510.9	  382.9	 1000.0	...
4333838	  510.9	  382.9	 1000.0	...
4333842	  510.9	  382.9	 1000.0	...
4333846	  510.9	  382.9	 1000.0	...
4333850	  510.9	  382.9	 1000.0	...
4333854	  510.9	  382.9	 1000.0	...
4333858	  510.9	  382.9	 1000.0	...
4333862	  510.9	  382.9	 1000.0	...
4333866	  510.9	  382.9	 1000.0	...
4333870	  510.9	  382.9	 1000.0	...
4333874	  510.9	  382.9	 1000.0	...
4333878	  510.9	  382.9	 1000.0	...
4333882	  510.9	  382.9	 1000.0	...
4333886	  510.9	  382.9	 1000.0	...
4333890	  510.9	  382.9	 1000.0	...
4333894	  510.9	  382.9	 1000.0	...
4333898	  510.9	  382.9	 1000.0	...
4333902	  510.9	  382.9	 1000.0	...
4333906	  510.9	  382.9	 1000.0	...
4333910	  510.9	  382.9	 1000.0	...
4333914	  510.9	  382.9	 1000.0	...
4333918	  510.9	  382.9	 1000.0	...
4333922	  510.9	  382.9	 1000.0	...
4333926	  510.9	  382.9	 1000.0	...
4333930	  510.9	  382.9	 1000.0	...
4333934	  510.9	  382.9	 1000.0	...
4333938	  510.9	  382.9	 1000.0	...
4333942	  510.9	  382.9	 1000.0	...
4333946	  510.9	  382.9	 1000.0	...
4333950	  510.9	  382.9	 1000.0	...
4333954	  510.9	  382.9	 1000.0	...
4333958	  510.9	  382.9	 1000.0	...
4333962	  510.9	  382.9	 1000.0	...
4333966	  510.9	  382.9	 1000.0	...
4333970	  510.9	  382.9	 1000.0	...
4333974	  510.9	  382.9	 1000.0	...
4333978	  510.9	  382.9	 1000.0	...
4333982	  510.9	  382.9	 1000.0	...
4333986	  510.9	  382.9	 1000.0	...
