** CONVERTED FROM SR2.edf using edfapi 3.1 Win32 Jul  4 2014 on Fri May 10 12:36:57 2024
** DATE: Fri May 10 12:43:14 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.48 Nov 25 2009
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BJC
** SERIAL NUMBER: CLO-ZAA25
** CAMERA_CONFIG: ZAA25140.SCD
**

MSG	4890833 Scan start
MSG	4890839 RECCFG CR 250 2 2 R
MSG	4890839 ELCLCFG MLRR
MSG	4890839 GAZE_COORDS 0.00 0.00 1024.00 768.00
MSG	4890839 THRESHOLDS R 56 172
MSG	4890839 ELCL_PROC ELLIPSE  (5)
MSG	4890839 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4890840 !MODE RECORD CR 250 2 2 R
START	4890846 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	HREF	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
INPUT	4890846	255
SFIX R   4890846
4891310	  510.9	  382.9	 1000.0	...
4891314	  510.9	  382.9	 1000.0	...
4891318	  510.9	  382.9	 1000.0	...
4891322	  510.9	  382.9	 1000.0	...
4891326	  510.9	  382.9	 1000.0	...
4891330	  510.9	  382.9	 1000.0	...
4891334	  510.9	  382.9	 1000.0	...
4891338	  510.9	  382.9	 1000.0	...
4891342	  510.9	  382.9	 1000.0	...
4891346	  510.9	  382.9	 1000.0	...
4891350	  510.9	  382.9	 1000.0	...
4891354	  510.9	  382.9	 1000.0	...
4891358	  510.9	  382.9	 1000.0	...
4891362	  510.9	  382.9	 1000.0	...
4891366	  510.9	  382.9	 1000.0	...
4891370	  510.9	  382.9	 1000.0	...
4891374	  510.9	  382.9	 1000.0	...
4891378	  510.9	  382.9	 1000.0	...
4891382	  510.9	  382.9	 1000.0	...
4891386	  510.9	  382.9	 1000.0	...
4891390	  510.9	  382.9	 1000.0	...
4891394	  510.9	  382.9	 1000.0	...
4891398	  510.9	  382.9	 1000.0	...
4891402	  510.9	  382.9	 1000.0	...
4891406	  510.9	  382.9	 1000.0	...
4891410	  510.9	  382.9	 1000.0	...
4891414	  510.9	  382.9	 1000.0	...
4891418	  510.9	  382.9	 1000.0	...
4891422	  510.9	  382.9	 1000.0	...
4891426	  510.9	  382.9	 1000.0	...
4891430	  510.9	  382.9	 1000.0	...
4891434	  510.9	  382.9	 1000.0	...
4891438	  510.9	  382.9	 1000.0	...
4891442	  510.9	  382.9	 1000.0	...
4891446	  510.9	  382.9	 1000.0	...
4891450	  510.9	  382.9	 1000.0	...
4891454	  510.9	  382.9	 1000.0	...
4891458	  510.9	  382.9	 1000.0	...
4891462	  510.9	  382.9	 1000.0	...
4891466	  510.9	  382.9	 1000.0	...
4891470	  510.9	  382.9	 1000.0	...
4891474	  510.9	  382.9	 1000.0	...
4891478	  510.9	  382.9	 1000.0	...
4891482	  510.9	  382.9	 1000.0	...
4891486	  510.9	  382.9	 1000.0	...
4891490	  510.9	  382.9	 1000.0	...
4891494	  510.9	  382.9	 1000.0	...
4891498	  510.9	  382.9	 1000.0	...
4891502	  510.9	  382.9	 1000.0	...
4891506	  510.9	  382.9	 1000.0	...
4891510	  510.9	  382.9	 1000.0	...
4891514	  510.9	  382.9	 1000.0	...
4891518	  510.9	  382.9	 1000.0	...
4891522	  510.9	  382.9	 1000.0	...
4891526	  510.9	  382.9	 1000.0	...
4891530	  510.9	  382.9	 1000.0	...
4891534	  510.9	  382.9	 1000.0	...
4891538	  510.9	  382.9	 1000.0	...
4891542	  510.9	  382.9	 1000.0	...
4891546	  510.9	  382.9	 1000.0	...
4891550	  510.9	  382.9	 1000.0	...
4891554	  510.9	  382.9	 1000.0	...
4891558	  510.9	  382.9	 1000.0	...
4891562	  510.9	  382.9	 1000.0	...
4891566	  510.9	  382.9	 1000.0	...
4891570	  510.9	  382.9	 1000.0	...
4891574	  510.9	  382.9	 1000.0	...
4891578	  510.9	  382.9	 1000.0	...
4891582	  510.9	  382.9	 1000.0	...
4891586	  510.9	  382.9	 1000.0	...
4891590	  510.9	  382.9	 1000.0	...
4891594	  510.9	  382.9	 1000.0	...
4891598	  510.9	  382.9	 1000.0	...
4891602	  510.9	  382.9	 1000.0	...
4891606	  510.9	  382.9	 1000.0	...
4891610	  510.9	  382.9	 1000.0	...
4891614	  510.9	  382.9	 1000.0	...
4891618	  510.9	  382.9	 1000.0	...
4891622	  510.9	  382.9	 1000.0	...
4891626	  510.9	  382.9	 1000.0	...
4891630	  510.9	  382.9	 1000.0	...
4891634	  510.9	  382.9	 1000.0	...
4891638	  510.9	  382.9	 1000.0	...
4891642	  510.9	  382.9	 1000.0	...
4891646	  510.9	  382.9	 1000.0	...
4891650	  510.9	  382.9	 1000.0	...
4891654	  510.9	  382.9	 1000.0	...
4891658	  510.9	  382.9	 1000.0	...
4891662	  510.9	  382.9	 1000.0	...
4891666	  510.9	  382.9	 1000.0	...
4891670	  510.9	  382.9	 1000.0	...
4891674	  510.9	  382.9	 1000.0	...
4891678	  510.9	  382.9	 1000.0	...
4891682	  510.9	  382.9	 1000.0	...
4891686	  510.9	  382.9	 1000.0	...
4891690	  510.9	  382.9	 1000.0	...
4891694	  510.9	  382.9	 1000.0	...
4891698	  510.9	  382.9	 1000.0	...
4891702	  510.9	  382.9	 1000.0	...
4891706	  510.9	  382.9	 1000.0	...
4891710	  510.9	  382.9	 1000.0	...
4891714	  510.9	  382.9	 1000.0	...
4891718	  510.9	  382.9	 1000.0	...
4891722	  510.9	  382.9	 1000.0	...
4891726	  510.9	  382.9	 1000.0	...
4891730	  510.9	  382.9	 1000.0	...
4891734	  510.9	  382.9	 1000.0	...
4891738	  510.9	  382.9	 1000.0	...
4891742	  510.9	  382.9	 1000.0	...
4891746	  510.9	  382.9	 1000.0	...
4891750	  510.9	  382.9	 1000.0	...
4891754	  510.9	  382.9	 1000.0	...
4891758	  510.9	  382.9	 1000.0	...
4891762	  510.9	  382.9	 1000.0	...
4891766	  510.9	  382.9	 1000.0	...
4891770	  510.9	  382.9	 1000.0	...
4891774	  510.9	  382.9	 1000.0	...
4891778	  510.9	  382.9	 1000.0	...
4891782	  510.9	  382.9	 1000.0	...
4891786	  510.9	  382.9	 1000.0	...
4891790	  510.9	  382.9	 1000.0	...
4891794	  510.9	  382.9	 1000.0	...
4891798	  510.9	  382.9	 1000.0	...
4891802	  510.9	  382.9	 1000.0	...
4891806	  510.9	  382.9	 1000.0	...
4891810	  510.9	  382.9	 1000.0	...
4891814	  510.9	  382.9	 1000.0	...
4891818	  510.9	  382.9	 1000.0	...
4891822	  510.9	  382.9	 1000.0	...
4891826	  510.9	  382.9	 1000.0	...
4891830	  510.9	  382.9	 1000.0	...
4891834	  510.9	  382.9	 1000.0	...
4891838	  510.9	  382.9	 1000.0	...
4891842	  510.9	  382.9	 1000.0	...
4891846	  510.9	  382.9	 1000.0	...
4891850	  510.9	  382.9	 1000.0	...
4891854	  510.9	  382.9	 1000.0	...
4891858	  510.9	  382.9	 1000.0	...
4891862	  510.9	  382.9	 1000.0	...
4891866	  510.9	  382.9	 1000.0	...
4891870	  510.9	  382.9	 1000.0	...
4891874	  510.9	  382.9	 1000.0	...
4891878	  510.9	  382.9	 1000.0	...
4891882	  510.9	  382.9	 1000.0	...
4891886	  510.9	  382.9	 1000.0	...
4891890	  510.9	  382.9	 1000.0	...
4891894	  510.9	  382.9	 1000.0	...
4891898	  510.9	  382.9	 1000.0	...
4891902	  510.9	  382.9	 1000.0	...
4891906	  510.9	  382.9	 1000.0	...
4891910	  510.9	  382.9	 1000.0	...
4891914	  510.9	  382.9	 1000.0	...
4891918	  510.9	  382.9	 1000.0	...
4891922	  510.9	  382.9	 1000.0	...
4891926	  510.9	  382.9	 1000.0	...
4891930	  510.9	  382.9	 1000.0	...
4891934	  510.9	  382.9	 1000.0	...
4891938	  510.9	  382.9	 1000.0	...
4891942	  510.9	  382.9	 1000.0	...
4891946	  510.9	  382.9	 1000.0	...
4891950	  510.9	  382.9	 1000.0	...
4891954	  510.9	  382.9	 1000.0	...
4891958	  510.9	  382.9	 1000.0	...
4891962	  510.9	  382.9	 1000.0	...
4891966	  510.9	  382.9	 1000.0	...
4891970	  510.9	  382.9	 1000.0	...
4891974	  510.9	  382.9	 1000.0	...
